METAL,COUNTRY,STANDARD SMELTER NAME,KEY TERM 1,KEY TERM 2,KEY TERM 3,KEY TERM 4,V2 Smelter ID,V3 Smelter ID, , 
Gold,KAZAKHSTAN,Kazzinc Ltd,Kazzinc ,,,,1KAZ029,CID000957,,
Gold,"KOREA, REPUBLIC OF",Daejin Indus Co. Ltd,Daejin ,Indus,,,1KOR082,CID000328,,
Gold,"KOREA, REPUBLIC OF",DaeryongENC,DaeryongENC,,,,1KOR083,CID000333,,
Gold,"KOREA, REPUBLIC OF",Do Sung Corporation,Do Sung,Dosung Metal,,,1KOR084,CID000359,,
Gold,"KOREA, REPUBLIC OF",Hwasung CJ Co. Ltd,Hwasung,,,,1KOR085,CID000778,,
Gold,"KOREA, REPUBLIC OF",Korea Metal Co. Ltd,Korea Metal,,,,1KOR086,CID000988,,
Gold,"KOREA, REPUBLIC OF",LS-NIKKO Copper Inc.,LS-NIKKO,,,,1KOR032,CID001078,,
Gold,"KOREA, REPUBLIC OF",SAMWON METALS Corp.,SAMWON,,,,1KOR087,CID001562,,
Gold,"KOREA, REPUBLIC OF",Torecom,Torecom,,,,1KOR081,CID001955,,
Gold,KYRGYZSTAN,Kyrgyzaltyn JSC,Kyrgyzaltyn,,,,1KGZ030,CID001029,,
Gold,MEXICO,Caridad,Caridad,,,,1MEX010,CID000180,,
Gold,MEXICO,"Met-Mex Peñoles, S.A.",Met-Mex,Peñoles,,,1MEX038,CID001161,,
Gold,NETHERLANDS,Schone Edelmetaal,Schone,Edelmetaal,,,1NLD051,CID001573,,
Gold,PHILIPPINES,Bangko Sentral ng Pilipinas (Central Bank of the Philippines),Bangko,Pilipinas,Bank of the Philippines,,1PHL008,CID000128,,
Gold,RUSSIAN FEDERATION,FSE Novosibirsk Refinery,Novosibirsk ,,,,1RUS016,CID000493,,
Gold,RUSSIAN FEDERATION,JSC Ekaterinburg Non-Ferrous Metal Processing Plant,Ekaterinburg,,,,1RUS026,CID000927,,
Gold,RUSSIAN FEDERATION,JSC Uralectromed,Uralectromed,,,,1RUS027,CID000929,,
Gold,RUSSIAN FEDERATION,Moscow Special Alloys Processing Plant,Moscow,,,,1RUS041,CID001204,,
Gold,RUSSIAN FEDERATION,OJSC “The Gulidov Krasnoyarsk Non-Ferrous Metals Plant” (OJSC Krastvetmet),Gulidov ,Krasnoyarsk ,Krastvetmett,,1RUS044,CID001326,,
Gold,RUSSIAN FEDERATION,OJSC Kolyma Refinery,Kolyma ,,,,1RUS067,CID001328,,
Gold,RUSSIAN FEDERATION,Prioksky Plant of Non-Ferrous Metals,Prioksky,,,,1RUS047,CID001386,,
Gold,RUSSIAN FEDERATION,SOE Shyolkovsky Factory of Secondary Precious Metals,Shyolkovsky ,,,,1RUS055,CID001756,,
Gold,SAUDI ARABIA,L' azurde Company For Jewelry,L' azurde ,Jewelry,,,1SAU031,CID001032,,
Gold,SINGAPORE,Metalor Technologies (Singapore) Pte. Ltd.,Metalor Singapore,,,, ,CID001152,,
Gold,SOUTH AFRICA,Rand Refinery (Pty) Ltd,Rand,,,,1ZAF049,CID001512,,
Gold,SPAIN,SEMPSA Joyería Platería SA,SEMPSA,Joyería ,,,1ESP052,CID001585,,
Gold,SWEDEN,Boliden AB,Boliden,,,,1SWE009,CID000157,,
Gold,SWITZERLAND,Argor-Heraeus SA,Argor,,,,1CHE004,CID000077,,
Gold,SWITZERLAND,Cendres & Métaux SA,Cendres,Métaux,,,1CHE011,CID000189,,
Gold,SWITZERLAND,Metalor Technologies SA,Metalor Switzerland,Metalor Tachnologies SA,,,1CHE035,CID001153,,
Gold,SWITZERLAND,PAMP SA,PAMP,,,,1CHE045,CID001352,,
Gold,SWITZERLAND,PX Précinox SA,Précinox,,,,1CHE068,CID001498,,
Gold,SWITZERLAND,Valcambi SA,Valcambi,,,,1CHE063,CID002003,,
Gold,TAIWAN,Solar Applied Materials Technology Corp.,Solar,Solartech,,,1TWN056,CID001761,,
Gold,THAILAND,Umicore Precious Metals Thailand,Umicore Thailand,,,, ,CID002314,,
Gold,TURKEY,Atasay Kuyumculuk Sanayi Ve Ticaret A.S.,Atasay,Kuyumculuk,ATAkulche,Ve Ticaret,1TUR006,CID000103,,
Gold,TURKEY,Istanbul Gold Refinery,Istanbul Gold,        ,,,1TUR069,CID000814,,
Gold,TURKEY,Nadir Metal Rafineri San. Ve Tic. A.Ş.,Nadir,Rafineri ,Nadir Metal,,1TUR070,CID001220,,
Gold,UNITED STATES,Colt Refining,Colt,,,, ,CID000288,,
Gold,UNITED STATES,Johnson Matthey Inc,Matthey Inc,JM USA,Matthey (Salt Lake City),,1USA025,CID000920,,
Gold,UNITED STATES,Kennecott Utah Copper LLC,Kennecott Utah,,,,1USA088,CID000969,,
Gold,UNITED STATES,Materion,Materion,Williams Advanced Metals,,,1USA033,CID001113,,
Gold,UNITED STATES,Metalor USA Refining Corporation,Metalor USA,,,,1USA037,CID001157,,
Gold,UNITED STATES,"Ohio Precious Metals, LLC",Ohio,OPM,,,1USA043,CID001322,,
Gold,UNITED STATES,Sabin Metal Corp.,Sabin,,,,1USA075,CID001546,,
Gold,UNITED STATES,"So Accurate Group, Inc.",So Accurate,Accurate Refining,,,1USA089,CID001754,,
Gold,UNITED STATES,"United Precious Metal Refining, Inc.", ,,,,1USA076,CID001993,,
Gold,UZBEKISTAN,Almalyk Mining and Metallurgical Complex (AMMC),Almalyk,(AMMC),,,1UZB002,CID000041,,
Gold,UZBEKISTAN,Navoi Mining and Metallurgical Combinat,Navoi,,,,1UZB042,CID001236,,
Tin,BELGIUM,Metallo Chimique,Metallo,Chimique,,,2BEL017,CID001143,,
Tin,BOLIVIA,EM Vinto,Vinto,,,,2BOL010,CID000438,,
Tin,BOLIVIA,OMSA,OMSA,,,,2BOL022,CID001337,,
Tin,BRAZIL,Cooper Santa,Cooper,Santa,,,2BRA063,CID000295,,
Tin,BRAZIL,Estanho de Rondônia S.A.,Estanho,Rondônia,,,2BRA067,CID000448,,
Tin,BRAZIL,Magnu's Minerais Metais e Ligas LTDA,Magnu's,Ligas,,, ,CID002468,,
Tin,BRAZIL,Mineração Taboca S.A.,Mineração,Taboca,,,2BRA018,CID001173,,
Tin,BRAZIL,"Soft Metais, Ltda.",Soft,,,,2BRA066,CID001758,,
Tin,BRAZIL,White Solder Metalurgia e Mineração Ltda.,Metalurgia,,,,2BRA054,CID002036,,
Tin,CHINA,China Rare Metal Materials Company,China,,,, ,CID000244,,
Tin,CHINA,CNMC (Guangxi) PGMA Co. Ltd.,CNMC,PGMA,,,2CHN050,CID000278,,
Tin,CHINA,Gejiu Non-Ferrous Metal Processing Co. Ltd., ,,,,2CHN012,CID000538,,
Tin,CHINA,Gejiu Zi-Li,Zi-LI,,,,2CHN011,CID000555,,
Tin,CHINA,Huichang Jinshunda Tin Co. Ltd,Huichang,Jinshunda,,,2CHN052,CID000760,,
Tin,CHINA,Jiangxi Nanshan,Jiangxi,Nanshan,,,2CHN014,CID000864,,
Tin,CHINA,Kai Unita Trade Limited Liability Company,Kai,,,,2CHN053,CID000942,,
Tin,CHINA,Linwu Xianggui Smelter Co,Linwu,Xianggui ,,,2CHN055,CID001063,,
Tin,CHINA,Liuzhou China Tin,Liuzhou,,,,2CHN015,CID001070,,
Tin,CHINA,Minmetals Ganzhou Tin Co. Ltd.,Minmetals,,,,2CHN051,CID001179,,
Tin,CHINA,"Yunnan Chengfeng Non-ferrous Metals Co.,Ltd.",Chengfeng,,,,2CHN047,CID002158,,
Tin,CHINA,"Yunnan Tin Company, Ltd.", ,,,,2CHN048,CID002180,,
Tin,INDONESIA,CV Serumpun Sebalai,Serumpun,Sebalai,,,2IDN008,CID000313,,
Tin,INDONESIA,CV United Smelting, ,,,,2IDN009,CID000315,,
Tin,INDONESIA,PT Artha Cipta Langgeng,Cipta ,Langgeng,,,2IDN024,CID001399,,
Tin,INDONESIA,PT Babel Inti Perkasa,Babel , ,,,2IDN025,CID001402,,
Tin,INDONESIA,PT Bangka Putra Karya,Putra,Karya,,,2IDN028,CID001412,,
Tin,INDONESIA,PT Bangka Tin Industry, ,,,,2IDN058,CID001419,,
Tin,INDONESIA,PT Belitung Industri Sejahtera,Belitung,Sejahtera,,,2IDN030,CID001421,,
Tin,INDONESIA,PT Bukit Timah,Bukit,,,,2IDN032,CID001428,,
Tin,INDONESIA,PT DS Jaya Abadi,Jaya ,Abadi,,,2IDN059,CID001434,,
Tin,INDONESIA,PT Eunindo Usaha Mandiri,Eunindo ,Mandiri,,,2IDN033,CID001438,,
