Metal,New Smelter ID,Smelter Name,Location,Status 
Tin,CID002468,Magnu's Minerais Metais e Ligas LTDA,Brazil,Active
Tin,CID002500,MeltﾠMetaisﾠe LigasﾠS/A,Brazil,Active
Tin,CID001143,Metallo Chimique,Belgium,Active
Tin,CID001412,PT Bangka Putra Karya, Indonesia,Active
Tin,CID001419,PT Bangka Tin Industry, Indonesia,Active
Tin,CID001434,PT DS Jaya Abadi, Indonesia,Active
Tin,CID001438,PT Eunindo Usaha Mandiri, Indonesia,Active
Tin,CID001460,PT Refined Bangka Tin, Indonesia,Active
Tin,CID001468,PT Stanindo Inti Perkasa, Indonesia,Active
Tin,CID001490,PT Tinindo Inter Nusa, Indonesia,Active
Tin,CID001539,Rui Da Hung,China ,Active
Tin,CID001758,"Soft Metais, Ltda.",Brazil,Active
Tin,CID002158,"Yunnan Chengfeng Non-ferrous Metals Co.,Ltd.",China ,Active
Tantalum,CID000211,"Changsha South Tantalum Niobium Co., Ltd.",China ,Active
Tungsten,CID002502,Asia Tungsten Products Vietnam Ltd,Vietnam,Active
Tungsten,CID000875,"Ganzhou Huaxing Tungsten Products Co., Ltd.",China ,Active
Tungsten,CID000524,"Ganzhou Grand Sea W & Mo Group Co., Ltd.",China ,Active
Tungsten,CID000218,"Guangdong Xianglu Tungsten Co., Ltd.",China ,Active
Tungsten,CID000769,"Hunan Chunchang Nonferrous Metals Co., Ltd.",China ,Active
Tungsten,CID002320,"Xiamen Tungsten (H.C) Co., Ltd.",China ,Active
Tungsten,CID002082,"Xiamen Tungsten Co., Ltd.",China ,Active
Tungsten,CID000004,A.L.M.T. Corp.,Japan,Progressing
Tungsten,CID002236,"China Minmetals Non-ferrous Metals Holding Co., Ltd",China ,Progressing
Tungsten,CID000875,"China Minmetals Non-ferrous Metals Holding Co., Ltd",China ,Progressing
Tungsten,CID002321,"China Minmetals Non-ferrous Metals Holding Co., Ltd",China ,Progressing
Tungsten,CID000258,"Chongyi Zhangyuan Tungsten Co., Ltd.",China ,Progressing
Tungsten,CID000345,"Dayu Weiliang Tungsten Co., Ltd.",China ,Progressing
Tungsten,CID000499,"Fujian Jinxin Tungsten Co., Ltd.",China ,Progressing
Tungsten,CID000524,"Ganzhou Grand Sea W & Mo Group Co., Ltd.",China ,Progressing
Tungsten,CID000683,HC Starck Group,Germany,Progressing
Tungsten,CID000766,"Hunan Chenzhou Mining Group Co., Ltd.",China ,Progressing
Tungsten,CID000966,Kennametal Inc.,USA,Progressing
Tungsten,CID001889,"Tejing (Vietnam) Tungsten Co., Ltd.",Vietnam,Progressing
Tungsten,ﾠCID002011,"Vietnam Youngsun Tungsten Industry Co., Ltd.",Vietnam,Progressing
Tungsten,CID002044,Wolfram Bergbau und H�tten AG,Austria,Progressing
Tungsten,CID002047,Wolfram Company CJSC,Russia,Progressing
Tungsten,CID002082,"Xiamen Tungsten Co., Ltd.",China ,Progressing
, ,,,
